id,delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken (min)
0x6bbb,23.0,4.5,22.651847,75.881991,22.721847,75.951991,22:25,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,17
0x190a,39.0,4.3,12.337978,76.616792,12.377978,76.656792,15:20,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33
0x120c,37.0,4.8,12.325461,76.632278,12.375461,76.682278,24:10:00,Windy,Low,2,Meal,scooter,0.0,No,,20
0x6016,30.0,4.8,21.183434,72.814492,21.213434,72.844492,17:40,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,27
0x9ca0,29.0,4.6,22.310237,73.158921,22.360237,73.208921,21:45,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,26
0x5066,29.0,4.0,18.569156,73.774723,18.579156,73.784723,09:30,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,25
0x3e6c,33.0,4.3,11.026117,76.944652,11.116117,77.034652,21:45,Cloudy,Jam,2,Snack,electric_scooter,2.0,No,Metropolitian,46
0x477f,32.0,5.0,12.337928,76.617889,12.417928,76.697889,0.958333333,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29
0xda8c,25.0,4.5,15.5696,73.742294,15.6996,73.872294,20:15,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20
0x6697,20.0,4.9,21.186438,72.794115,21.206438,72.814115,10:55,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,15
0xaaf0,24.0,4.7,12.939496,77.625999,12.979496,77.665999,12:55,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,34
0x6497,24.0,4.8,0.0,0.0,0.08,0.08,22:35,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,23
0x265e,31.0,4.3,0.0,0.0,0.04,0.04,14:50,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,31
0xbb88,39.0,4.5,23.374878,85.335739,23.404878,85.365739,21:15,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29
0x4785,31.0,4.7,12.972532,77.608179,13.042532,77.678179,22:50,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26
0x708a,33.0,4.6,22.651847,75.881991,22.711847,75.941991,18:20,Sunny,Medium,2,Meal,scooter,1.0,No,Metropolitian,19
0xdc42,37.0,3.7,19.879631,75.323403,19.969631,75.413403,18:55,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,33
0x8dc7,23.0,4.7,11.010375,76.95295,11.100375,77.04295,19:30,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,36
0x60a8,34.0,4.9,21.185047,72.80859,21.265047,72.88859,18:50,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,25
0xd68b,20.0,4.8,10.003064,76.307589,10.023064,76.327589,10:50,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24
0xa32,,,18.554382,73.798206,18.614382,73.858206,19:05,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,20
0x7799,36.0,4.9,21.175975,72.795503,21.285975,72.905503,18:55,Windy,Medium,0,Meal,motorcycle,2.0,No,Urban,48
0x13ed,36.0,4.9,23.416792,85.316842,23.486792,85.386842,21:05,Cloudy,Jam,0,Meal,motorcycle,,Yes,Metropolitian,53
0x4071,23.0,4.6,21.170096,72.789122,21.300096,72.919122,17:45,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,38
0x3fc3,37.0,4.0,22.725835,75.887648,22.815835,75.977648,0.791666667,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,35
0x3f51,32.0,5.0,21.157729,72.768726,21.187729,72.798726,21:50,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,26
0xb974,32.0,4.3,12.939496,77.625999,13.019496,77.705999,20:35,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46
0x29d7,39.0,4.8,26.913726,75.75282,26.943726,75.78282,21:55,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29
0x85ab,28.0,4.8,13.026279,80.174568,13.156279,80.304568,20:45,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27
0xa19d,26.0,4.6,22.695207,75.866059,22.805207,75.976059,17:50,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,43
0xcddc,22.0,4.6,0.0,0.0,0.01,0.01,08:50,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Metropolitian,14
0x5978,22.0,5.0,19.120083,72.907385,19.130083,72.917385,12:10,Cloudy,High,1,Buffet,scooter,1.0,No,Urban,28
0x2463,35.0,4.8,22.732225,75.874765,22.862225,76.004765,18:25,Sandstorms,Medium,0,Buffet,motorcycle,3.0,Yes,Metropolitian,49
0xcd01,37.0,4.8,30.88722,75.804893,31.02722,75.944893,18:30,Cloudy,Medium,0,Snack,motorcycle,1.0,Yes,Metropolitian,43
0x93e0,35.0,5.0,19.22384,72.841347,19.35384,72.971347,17:40,Windy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,23
0x3109,20.0,4.7,12.323194,76.630583,12.363194,76.670583,15:45,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,28
0xc03e,23.0,4.7,-10.020683,76.310631,10.130683,76.420631,21:35,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27
0x64f,,,23.359194,85.325447,23.369194,85.335447,0.416666667,Sunny,Low,1,Buffet,scooter,,No,Metropolitian,24
0xbbe3,33.0,4.8,23.351058,85.325731,23.391058,85.365731,12:35,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,25
0xb06a,30.0,4.7,13.026286,80.275235,13.086286,80.335235,21:45,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,37
0xd5bb,21.0,4.9,23.264015,77.408236,23.334015,77.478236,22:55,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28
0x682e,35.0,3.5,17.450851,78.379347,17.560851,78.489347,0.75,Stormy,Medium,2,Meal,scooter,1.0,No,Urban,37
